Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
6621750,-87.25,-125.98,50.0,1.00,-0.0,50.0,-0.0
6622000,-87.33,-120.89,50.0,1.00,-0.0,50.0,-0.0
6622250,-87.54,-126.40,50.0,1.00,-0.0,50.0,-0.0
6622500,-87.54,-121.97,50.0,1.00,-0.0,50.0,-0.0
6622750,-88.18,-122.97,50.0,1.00,-0.0,50.0,-0.0
6623000,-87.70,-124.54,50.0,1.00,-0.0,50.0,-0.0
6623250,-87.82,-122.00,50.0,1.00,-0.0,50.0,-0.0
6623500,-87.55,-123.67,50.0,1.00,-0.0,50.0,-0.0
6623750,-87.41,-120.62,50.0,1.00,-0.0,50.0,-0.0
6624000,-87.54,-125.81,50.0,1.00,-0.0,50.0,-0.0
6624250,-87.63,-122.50,50.0,1.00,-0.0,50.0,-0.0
6624500,-87.56,-124.01,50.0,1.00,-0.0,50.0,-0.0
6624750,-87.83,-128.37,50.0,1.00,-0.0,50.0,-0.0
6625000,-87.85,-128.29,50.0,1.00,-0.0,50.0,-0.0
6625250,-87.56,-124.58,50.0,1.00,-0.0,50.0,-0.0
6625500,-87.24,-122.98,50.0,1.00,-0.0,50.0,-0.0
6625750,-87.41,-125.40,50.0,1.00,-0.0,50.0,-0.0
6626000,-88.07,-122.59,50.0,1.00,-0.0,50.0,-0.0
6626250,-87.62,-125.23,50.0,1.00,-0.0,50.0,-0.0
6626500,-87.47,-120.09,50.0,1.00,-0.0,50.0,-0.0
6626750,-87.91,-125.73,50.0,1.00,-0.0,50.0,-0.0
6627000,-87.53,-124.65,50.0,1.00,-0.0,50.0,-0.0
6627250,-87.25,-125.17,50.0,1.00,-0.0,50.0,-0.0
6627500,-87.73,-123.74,50.0,1.00,-0.0,50.0,-0.0
6627750,-87.73,-125.13,50.0,1.00,-0.0,50.0,-0.0
6628000,-87.75,-125.40,50.0,1.00,-0.0,50.0,-0.0
6628250,-87.41,-126.29,50.0,1.00,-0.0,50.0,-0.0
6628500,-87.71,-123.83,50.0,1.00,-0.0,50.0,-0.0
6628750,-87.28,-124.44,50.0,1.00,-0.0,50.0,-0.0
6629000,-87.40,-123.91,50.0,1.00,-0.0,50.0,-0.0
6629250,-87.66,-122.27,50.0,1.00,-0.0,50.0,-0.0
6629500,-87.37,-124.77,50.0,1.00,-0.0,50.0,-0.0
6629750,-87.78,-123.67,50.0,1.00,-0.0,50.0,-0.0
6630000,-88.19,-124.65,50.0,1.00,-0.0,50.0,-0.0
6630250,-87.65,-125.82,50.0,1.00,-0.0,50.0,-0.0
6630500,-87.23,-127.56,50.0,1.00,-0.0,50.0,-0.0
6630750,-87.56,-125.24,50.0,1.00,-0.0,50.0,-0.0
6631000,-87.81,-120.90,50.0,1.00,-0.0,50.0,-0.0
6631250,-87.36,-124.41,50.0,1.00,-0.0,50.0,-0.0
6631500,-87.66,-124.21,50.0,1.00,-0.0,50.0,-0.0
6631750,-87.43,-122.37,50.0,1.00,-0.0,50.0,-0.0
6632000,-87.32,-125.14,50.0,1.00,-0.0,50.0,-0.0
6632250,-87.86,-125.64,50.0,1.00,-0.0,50.0,-0.0
6632500,-87.73,-123.71,50.0,1.00,-0.0,50.0,-0.0
6632750,-87.77,-126.22,50.0,1.00,-0.0,50.0,-0.0
6633000,-87.68,-121.35,50.0,1.00,-0.0,50.0,-0.0
6633250,-87.74,-122.22,50.0,1.00,-0.0,50.0,-0.0
6633500,-87.48,-123.65,50.0,1.00,-0.0,50.0,-0.0
6633750,-88.11,-125.13,50.0,1.00,-0.0,50.0,-0.0
6634000,-87.89,-124.72,50.0,1.00,-0.0,50.0,-0.0
6634250,-87.87,-123.40,50.0,1.00,-0.0,50.0,-0.0
6634500,-87.66,-122.01,50.0,1.00,-0.0,50.0,-0.0
6634750,-87.36,-123.06,50.0,1.00,-0.0,50.0,-0.0
6635000,-87.60,-125.03,50.0,1.00,-0.0,50.0,-0.0
6635250,-87.57,-123.97,50.0,1.00,-0.0,50.0,-0.0
6635500,-87.64,-127.50,50.0,1.00,-0.0,50.0,-0.0
6635750,-87.57,-122.82,50.0,1.00,-0.0,50.0,-0.0
6636000,-87.74,-124.39,50.0,1.00,-0.0,50.0,-0.0
6636250,-87.70,-120.77,50.0,1.00,-0.0,50.0,-0.0
6636500,-88.09,-123.99,50.0,1.00,-0.0,50.0,-0.0
6636750,-87.98,-126.86,50.0,1.00,-0.0,50.0,-0.0
6637000,-87.67,-124.30,50.0,1.00,-0.0,50.0,-0.0
6637250,-87.45,-126.74,50.0,1.00,-0.0,50.0,-0.0
6637500,-87.63,-124.26,50.0,1.00,-0.0,50.0,-0.0
6637750,-87.21,-124.29,50.0,1.00,-0.0,50.0,-0.0
6638000,-87.14,-125.30,50.0,1.00,-0.0,50.0,-0.0
6638250,-87.61,-121.03,50.0,1.00,-0.0,50.0,-0.0
6638500,-87.76,-124.06,50.0,1.00,-0.0,50.0,-0.0
6638750,-87.98,-126.24,50.0,1.00,-0.0,50.0,-0.0
6639000,-87.46,-122.13,50.0,1.00,-0.0,50.0,-0.0
6639250,-87.94,-123.21,50.0,1.00,-0.0,50.0,-0.0
6639500,-87.33,-125.21,50.0,1.00,-0.0,50.0,-0.0
6639750,-87.80,-121.42,50.0,1.00,-0.0,50.0,-0.0
6640000,-87.70,-124.68,50.0,1.00,-0.0,50.0,-0.0
6640250,-87.71,-124.45,50.0,1.00,-0.0,50.0,-0.0
6640500,-88.00,-124.94,50.0,1.00,-0.0,50.0,-0.0
6640750,-87.45,-123.68,50.0,1.00,-0.0,50.0,-0.0
6641000,-88.17,-121.87,50.0,1.00,-0.0,50.0,-0.0
6641250,-87.59,-125.33,50.0,1.00,-0.0,50.0,-0.0
6641500,-87.86,-125.34,50.0,1.00,-0.0,50.0,-0.0
6641750,-87.64,-126.44,50.0,1.00,-0.0,50.0,-0.0
6642000,-87.71,-123.05,50.0,1.00,-0.0,50.0,-0.0
6642250,-87.46,-126.62,50.0,1.00,-0.0,50.0,-0.0
6642500,-88.06,-123.81,50.0,1.00,-0.0,50.0,-0.0
6642750,-87.06,-121.40,50.0,1.00,-0.0,50.0,-0.0
6643000,-87.67,-121.85,50.0,1.00,-0.0,50.0,-0.0
6643250,-87.94,-122.95,50.0,1.00,-0.0,50.0,-0.0
6643500,-87.96,-125.47,50.0,1.00,-0.0,50.0,-0.0
6643750,-87.64,-124.34,50.0,1.00,-0.0,50.0,-0.0
6644000,-87.62,-123.85,50.0,1.00,-0.0,50.0,-0.0
6644250,-87.89,-124.18,50.0,1.00,-0.0,50.0,-0.0
6644500,-87.44,-124.65,50.0,1.00,-0.0,50.0,-0.0
6644750,-88.07,-123.56,50.0,1.00,-0.0,50.0,-0.0
6645000,-87.68,-124.73,50.0,1.00,-0.0,50.0,-0.0
6645250,-87.51,-125.08,50.0,1.00,-0.0,50.0,-0.0
6645500,-87.35,-125.21,50.0,1.00,-0.0,50.0,-0.0
6645750,-87.38,-122.24,50.0,1.00,-0.0,50.0,-0.0
6646000,-87.80,-125.93,50.0,1.00,-0.0,50.0,-0.0
6646250,-87.36,-122.32,50.0,1.00,-0.0,50.0,-0.0
6646500,-88.09,-123.21,50.0,1.00,-0.0,50.0,-0.0
6646750,-87.17,-128.47,50.0,1.00,-0.0,50.0,-0.0
6647000,-87.43,-124.07,50.0,1.00,-0.0,50.0,-0.0
6647250,-87.32,-122.71,50.0,1.00,-0.0,50.0,-0.0
6647500,-87.67,-124.13,50.0,1.00,-0.0,50.0,-0.0
6647750,-87.46,-122.98,50.0,1.00,-0.0,50.0,-0.0
6648000,-87.47,-124.45,50.0,1.00,-0.0,50.0,-0.0
6648250,-87.51,-125.97,50.0,1.00,-0.0,50.0,-0.0
6648500,-87.84,-122.34,50.0,1.00,-0.0,50.0,-0.0
6648750,-87.57,-126.28,50.0,1.00,-0.0,50.0,-0.0
6649000,-87.70,-127.42,50.0,1.00,-0.0,50.0,-0.0
6649250,-87.99,-124.04,50.0,1.00,-0.0,50.0,-0.0
6649500,-87.62,-125.67,50.0,1.00,-0.0,50.0,-0.0
6649750,-87.56,-124.21,50.0,1.00,-0.0,50.0,-0.0
6650000,-88.08,-125.47,50.0,1.00,-0.0,50.0,-0.0
6650250,-87.88,-124.73,50.0,1.00,-0.0,50.0,-0.0
6650500,-87.65,-121.45,50.0,1.00,-0.0,50.0,-0.0
6650750,-87.58,-122.18,50.0,1.00,-0.0,50.0,-0.0
6651000,-87.76,-123.29,50.0,1.00,-0.0,50.0,-0.0
6651250,-87.95,-122.56,50.0,1.00,-0.0,50.0,-0.0
6651500,-87.50,-125.03,50.0,1.00,-0.0,50.0,-0.0
6651750,-87.77,-124.00,50.0,1.00,-0.0,50.0,-0.0
6652000,-87.76,-125.61,50.0,1.00,-0.0,50.0,-0.0
6652250,-87.41,-125.03,50.0,1.00,-0.0,50.0,-0.0
6652500,-87.38,-124.42,50.0,1.00,-0.0,50.0,-0.0
6652750,-87.30,-128.22,50.0,1.00,-0.0,50.0,-0.0
6653000,-87.93,-122.87,50.0,1.00,-0.0,50.0,-0.0
6653250,-88.11,-122.83,50.0,1.00,-0.0,50.0,-0.0
6653500,-87.96,-127.08,50.0,1.00,-0.0,50.0,-0.0
6653750,-87.37,-125.74,50.0,1.00,-0.0,50.0,-0.0
