Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
6695500,-87.53,-124.47,50.0,1.00,-0.0,50.0,-0.0
6695750,-87.22,-124.74,50.0,1.00,-0.0,50.0,-0.0
6696000,-87.48,-123.95,50.0,1.00,-0.0,50.0,-0.0
6696250,-87.49,-124.65,50.0,1.00,-0.0,50.0,-0.0
6696500,-87.93,-125.82,50.0,1.00,-0.0,50.0,-0.0
6696750,-87.86,-128.21,50.0,1.00,-0.0,50.0,-0.0
6697000,-88.02,-123.42,50.0,1.00,-0.0,50.0,-0.0
6697250,-87.74,-122.30,50.0,1.00,-0.0,50.0,-0.0
6697500,-87.98,-126.00,50.0,1.00,-0.0,50.0,-0.0
6697750,-87.42,-125.11,50.0,1.00,-0.0,50.0,-0.0
6698000,-87.60,-121.81,50.0,1.00,-0.0,50.0,-0.0
6698250,-87.70,-120.07,50.0,1.00,-0.0,50.0,-0.0
6698500,-87.89,-122.79,50.0,1.00,-0.0,50.0,-0.0
6698750,-87.76,-125.56,50.0,1.00,-0.0,50.0,-0.0
6699000,-87.89,-127.89,50.0,1.00,-0.0,50.0,-0.0
6699250,-87.71,-123.41,50.0,1.00,-0.0,50.0,-0.0
6699500,-87.93,-123.19,50.0,1.00,-0.0,50.0,-0.0
6699750,-87.86,-123.92,50.0,1.00,-0.0,50.0,-0.0
6700000,-87.53,-124.22,50.0,1.00,-0.0,50.0,-0.0
6700250,-87.84,-126.73,50.0,1.00,-0.0,50.0,-0.0
6700500,-87.78,-124.06,50.0,1.00,-0.0,50.0,-0.0
6700750,-87.45,-119.09,50.0,1.00,-0.0,50.0,-0.0
6701000,-87.48,-124.61,50.0,1.00,-0.0,50.0,-0.0
6701250,-88.00,-123.85,50.0,1.00,-0.0,50.0,-0.0
6701500,-87.29,-126.02,50.0,1.00,-0.0,50.0,-0.0
6701750,-87.64,-127.12,50.0,1.00,-0.0,50.0,-0.0
6702000,-87.57,-121.87,50.0,1.00,-0.0,50.0,-0.0
6702250,-87.97,-120.02,50.0,1.00,-0.0,50.0,-0.0
6702500,-87.80,-124.54,50.0,1.00,-0.0,50.0,-0.0
6702750,-87.40,-121.15,50.0,1.00,-0.0,50.0,-0.0
6703000,-87.49,-124.94,50.0,1.00,-0.0,50.0,-0.0
6703250,-87.84,-124.35,50.0,1.00,-0.0,50.0,-0.0
6703500,-87.62,-126.83,50.0,1.00,-0.0,50.0,-0.0
6703750,-87.78,-126.15,50.0,1.00,-0.0,50.0,-0.0
6704000,-88.27,-122.56,50.0,1.00,-0.0,50.0,-0.0
6704250,-87.72,-126.76,50.0,1.00,-0.0,50.0,-0.0
6704500,-87.72,-124.08,50.0,1.00,-0.0,50.0,-0.0
6704750,-87.97,-124.15,50.0,1.00,-0.0,50.0,-0.0
6705000,-87.58,-123.34,50.0,1.00,-0.0,50.0,-0.0
6705250,-88.15,-124.13,50.0,1.00,-0.0,50.0,-0.0
6705500,-87.59,-127.47,50.0,1.00,-0.0,50.0,-0.0
6705750,-87.87,-125.92,50.0,1.00,-0.0,50.0,-0.0
6706000,-87.95,-121.98,50.0,1.00,-0.0,50.0,-0.0
6706250,-87.70,-124.16,50.0,1.00,-0.0,50.0,-0.0
6706500,-87.43,-122.49,50.0,1.00,-0.0,50.0,-0.0
6706750,-87.64,-123.05,50.0,1.00,-0.0,50.0,-0.0
6707000,-87.62,-123.72,50.0,1.00,-0.0,50.0,-0.0
6707250,-87.86,-124.00,50.0,1.00,-0.0,50.0,-0.0
6707500,-87.68,-122.86,50.0,1.00,-0.0,50.0,-0.0
6707750,-87.91,-124.54,50.0,1.00,-0.0,50.0,-0.0
6708000,-87.52,-123.03,50.0,1.00,-0.0,50.0,-0.0
6708250,-87.94,-123.62,50.0,1.00,-0.0,50.0,-0.0
6708500,-87.61,-126.79,50.0,1.00,-0.0,50.0,-0.0
6708750,-87.78,-125.30,50.0,1.00,-0.0,50.0,-0.0
6709000,-87.64,-124.19,50.0,1.00,-0.0,50.0,-0.0
6709250,-87.53,-125.07,50.0,1.00,-0.0,50.0,-0.0
6709500,-87.98,-122.82,50.0,1.00,-0.0,50.0,-0.0
6709750,-87.55,-125.33,50.0,1.00,-0.0,50.0,-0.0
6710000,-87.78,-121.91,50.0,1.00,-0.0,50.0,-0.0
6710250,-88.08,-124.98,50.0,1.00,-0.0,50.0,-0.0
6710500,-87.66,-124.44,50.0,1.00,-0.0,50.0,-0.0
6710750,-87.63,-122.45,50.0,1.00,-0.0,50.0,-0.0
6711000,-88.06,-120.51,50.0,1.00,-0.0,50.0,-0.0
6711250,-87.48,-125.79,50.0,1.00,-0.0,50.0,-0.0
6711500,-87.79,-123.66,50.0,1.00,-0.0,50.0,-0.0
6711750,-87.55,-126.80,50.0,1.00,-0.0,50.0,-0.0
6712000,-87.44,-124.83,50.0,1.00,-0.0,50.0,-0.0
6712250,-87.95,-126.10,50.0,1.00,-0.0,50.0,-0.0
6712500,-87.68,-123.18,50.0,1.00,-0.0,50.0,-0.0
6712750,-88.38,-124.24,50.0,1.00,-0.0,50.0,-0.0
6713000,-88.48,-122.23,50.0,1.00,-0.0,50.0,-0.0
6713250,-87.71,-124.59,50.0,1.00,-0.0,50.0,-0.0
6713500,-87.57,-124.42,50.0,1.00,-0.0,50.0,-0.0
6713750,-87.58,-122.83,50.0,1.00,-0.0,50.0,-0.0
6714000,-87.56,-124.29,50.0,1.00,-0.0,50.0,-0.0
6714250,-88.40,-123.89,50.0,1.00,-0.0,50.0,-0.0
6714500,-87.65,-125.43,50.0,1.00,-0.0,50.0,-0.0
6714750,-88.12,-122.70,50.0,1.00,-0.0,50.0,-0.0
6715000,-87.71,-124.36,50.0,1.00,-0.0,50.0,-0.0
6715250,-88.22,-121.96,50.0,1.00,-0.0,50.0,-0.0
6715500,-87.60,-123.87,50.0,1.00,-0.0,50.0,-0.0
6715750,-87.91,-122.01,50.0,1.00,-0.0,50.0,-0.0
6716000,-87.70,-122.83,50.0,1.00,-0.0,50.0,-0.0
6716250,-87.45,-126.05,50.0,1.00,-0.0,50.0,-0.0
6716500,-87.75,-124.16,50.0,1.00,-0.0,50.0,-0.0
6716750,-87.82,-127.54,50.0,1.00,-0.0,50.0,-0.0
6717000,-87.56,-125.75,50.0,1.00,-0.0,50.0,-0.0
6717250,-88.10,-124.59,50.0,1.00,-0.0,50.0,-0.0
6717500,-87.67,-120.96,50.0,1.00,-0.0,50.0,-0.0
6717750,-88.07,-124.08,50.0,1.00,-0.0,50.0,-0.0
6718000,-87.93,-124.73,50.0,1.00,-0.0,50.0,-0.0
6718250,-87.57,-122.80,50.0,1.00,-0.0,50.0,-0.0
6718500,-87.71,-124.11,50.0,1.00,-0.0,50.0,-0.0
6718750,-87.74,-124.95,50.0,1.00,-0.0,50.0,-0.0
6719000,-87.66,-123.57,50.0,1.00,-0.0,50.0,-0.0
6719250,-87.96,-123.57,50.0,1.00,-0.0,50.0,-0.0
6719500,-87.51,-122.50,50.0,1.00,-0.0,50.0,-0.0
6719750,-87.81,-125.40,50.0,1.00,-0.0,50.0,-0.0
6720000,-87.92,-125.31,50.0,1.00,-0.0,50.0,-0.0
6720250,-88.02,-123.88,50.0,1.00,-0.0,50.0,-0.0
6720500,-87.42,-126.10,50.0,1.00,-0.0,50.0,-0.0
6720750,-87.67,-126.93,50.0,1.00,-0.0,50.0,-0.0
6721000,-87.65,-123.21,50.0,1.00,-0.0,50.0,-0.0
6721250,-87.78,-121.15,50.0,1.00,-0.0,50.0,-0.0
6721500,-88.04,-120.43,50.0,1.00,-0.0,50.0,-0.0
6721750,-88.04,-125.58,50.0,1.00,-0.0,50.0,-0.0
6722000,-87.33,-126.29,50.0,1.00,-0.0,50.0,-0.0
6722250,-87.62,-123.51,50.0,1.00,-0.0,50.0,-0.0
6722500,-88.17,-122.71,50.0,1.00,-0.0,50.0,-0.0
6722750,-88.12,-123.99,50.0,1.00,-0.0,50.0,-0.0
6723000,-87.94,-125.79,50.0,1.00,-0.0,50.0,-0.0
6723250,-87.48,-124.13,50.0,1.00,-0.0,50.0,-0.0
6723500,-87.71,-124.07,50.0,1.00,-0.0,50.0,-0.0
6723750,-87.55,-126.27,50.0,1.00,-0.0,50.0,-0.0
6724000,-88.46,-123.89,50.0,1.00,-0.0,50.0,-0.0
6724250,-87.72,-122.81,50.0,1.00,-0.0,50.0,-0.0
6724500,-87.69,-122.55,50.0,1.00,-0.0,50.0,-0.0
6724750,-87.29,-127.33,50.0,1.00,-0.0,50.0,-0.0
6725000,-87.75,-124.46,50.0,1.00,-0.0,50.0,-0.0
6725250,-87.54,-124.77,50.0,1.00,-0.0,50.0,-0.0
6725500,-87.52,-122.93,50.0,1.00,-0.0,50.0,-0.0
6725750,-87.76,-123.42,50.0,1.00,-0.0,50.0,-0.0
6726000,-87.83,-129.06,50.0,1.00,-0.0,50.0,-0.0
6726250,-87.33,-123.83,50.0,1.00,-0.0,50.0,-0.0
6726500,-87.91,-124.30,50.0,1.00,-0.0,50.0,-0.0
6726750,-87.91,-119.36,50.0,1.00,-0.0,50.0,-0.0
6727000,-87.76,-124.93,50.0,1.00,-0.0,50.0,-0.0
6727250,-87.63,-125.33,50.0,1.00,-0.0,50.0,-0.0
6727500,-87.50,-123.01,50.0,1.00,-0.0,50.0,-0.0
6727750,-87.60,-121.97,50.0,1.00,-0.0,50.0,-0.0
6728000,-87.83,-126.78,50.0,1.00,-0.0,50.0,-0.0
6728250,-87.44,-123.28,50.0,1.00,-0.0,50.0,-0.0
6728500,-87.36,-123.85,50.0,1.00,-0.0,50.0,-0.0
6728750,-87.55,-124.52,50.0,1.00,-0.0,50.0,-0.0
6729000,-87.52,-124.26,50.0,1.00,-0.0,50.0,-0.0
6729250,-87.70,-122.42,50.0,1.00,-0.0,50.0,-0.0
6729500,-87.98,-122.11,50.0,1.00,-0.0,50.0,-0.0
6729750,-88.57,-121.32,50.0,1.00,-0.0,50.0,-0.0
6730000,-87.66,-125.13,50.0,1.00,-0.0,50.0,-0.0
6730250,-87.47,-126.34,50.0,1.00,-0.0,50.0,-0.0
6730500,-87.89,-123.90,50.0,1.00,-0.0,50.0,-0.0
6730750,-87.52,-123.46,50.0,1.00,-0.0,50.0,-0.0
6731000,-87.91,-125.58,50.0,1.00,-0.0,50.0,-0.0
6731250,-87.60,-123.09,50.0,1.00,-0.0,50.0,-0.0
6731500,-87.96,-125.17,50.0,1.00,-0.0,50.0,-0.0
6731750,-88.00,-123.19,50.0,1.00,-0.0,50.0,-0.0
6732000,-87.64,-120.28,50.0,1.00,-0.0,50.0,-0.0
6732250,-87.55,-123.49,50.0,1.00,-0.0,50.0,-0.0
6732500,-87.36,-123.60,50.0,1.00,-0.0,50.0,-0.0
6732750,-87.82,-126.74,50.0,1.00,-0.0,50.0,-0.0
6733000,-87.77,-122.46,50.0,1.00,-0.0,50.0,-0.0
6733250,-87.68,-125.59,50.0,1.00,-0.0,50.0,-0.0
6733500,-87.44,-125.49,50.0,1.00,-0.0,50.0,-0.0
6733750,-87.75,-124.88,50.0,1.00,-0.0,50.0,-0.0
6734000,-87.44,-122.45,50.0,1.00,-0.0,50.0,-0.0
6734250,-87.86,-124.19,50.0,1.00,-0.0,50.0,-0.0
6734500,-88.21,-124.02,50.0,1.00,-0.0,50.0,-0.0
6734750,-88.17,-125.44,50.0,1.00,-0.0,50.0,-0.0
6735000,-87.84,-123.46,50.0,1.00,-0.0,50.0,-0.0
6735250,-88.24,-126.76,50.0,1.00,-0.0,50.0,-0.0
6735500,-87.63,-120.71,50.0,1.00,-0.0,50.0,-0.0
6735750,-87.74,-126.83,50.0,1.00,-0.0,50.0,-0.0
6736000,-88.00,-125.55,50.0,1.00,-0.0,50.0,-0.0
6736250,-87.74,-126.25,50.0,1.00,-0.0,50.0,-0.0
6736500,-87.67,-126.37,50.0,1.00,-0.0,50.0,-0.0
6736750,-87.69,-119.72,50.0,1.00,-0.0,50.0,-0.0
6737000,-87.97,-129.72,50.0,1.00,-0.0,50.0,-0.0
6737250,-87.96,-126.09,50.0,1.00,-0.0,50.0,-0.0
6737500,-87.47,-124.37,50.0,1.00,-0.0,50.0,-0.0
6737750,-87.69,-126.05,50.0,1.00,-0.0,50.0,-0.0
6738000,-87.73,-124.35,50.0,1.00,-0.0,50.0,-0.0
6738250,-87.43,-123.77,50.0,1.00,-0.0,50.0,-0.0
6738500,-88.18,-125.55,50.0,1.00,-0.0,50.0,-0.0
6738750,-88.15,-123.20,50.0,1.00,-0.0,50.0,-0.0
6739000,-87.66,-125.99,50.0,1.00,-0.0,50.0,-0.0
6739250,-87.76,-123.00,50.0,1.00,-0.0,50.0,-0.0
6739500,-87.48,-125.05,50.0,1.00,-0.0,50.0,-0.0
6739750,-87.94,-128.45,50.0,1.00,-0.0,50.0,-0.0
6740000,-87.69,-126.03,50.0,1.00,-0.0,50.0,-0.0
6740250,-87.50,-123.04,50.0,1.00,-0.0,50.0,-0.0
6740500,-87.59,-123.60,50.0,1.00,-0.0,50.0,-0.0
6740750,-87.51,-122.38,50.0,1.00,-0.0,50.0,-0.0
6741000,-87.60,-120.54,50.0,1.00,-0.0,50.0,-0.0
6741250,-87.64,-119.54,50.0,1.00,-0.0,50.0,-0.0
6741500,-88.11,-123.98,50.0,1.00,-0.0,50.0,-0.0
6741750,-87.68,-123.35,50.0,1.00,-0.0,50.0,-0.0
6742000,-87.73,-125.62,50.0,1.00,-0.0,50.0,-0.0
6742250,-88.15,-123.78,50.0,1.00,-0.0,50.0,-0.0
6742500,-87.85,-121.32,50.0,1.00,-0.0,50.0,-0.0
6742750,-87.96,-123.43,50.0,1.00,-0.0,50.0,-0.0
6743000,-88.37,-125.67,50.0,1.00,-0.0,50.0,-0.0
6743250,-87.53,-127.38,50.0,1.00,-0.0,50.0,-0.0
6743500,-88.54,-126.42,50.0,1.00,-0.0,50.0,-0.0
6743750,-87.66,-123.78,50.0,1.00,-0.0,50.0,-0.0
6744000,-88.32,-123.60,50.0,1.00,-0.0,50.0,-0.0
6744250,-87.64,-128.25,50.0,1.00,-0.0,50.0,-0.0
6744500,-87.79,-128.39,50.0,1.00,-0.0,50.0,-0.0
6744750,-87.80,-125.69,50.0,1.00,-0.0,50.0,-0.0
6745000,-88.08,-125.48,50.0,1.00,-0.0,50.0,-0.0
6745250,-87.64,-125.23,50.0,1.00,-0.0,50.0,-0.0
6745500,-87.93,-127.07,50.0,1.00,-0.0,50.0,-0.0
6745750,-87.86,-128.28,50.0,1.00,-0.0,50.0,-0.0
6746000,-87.92,-123.36,50.0,1.00,-0.0,50.0,-0.0
6746250,-87.75,-128.54,50.0,1.00,-0.0,50.0,-0.0
6746500,-87.80,-126.04,50.0,1.00,-0.0,50.0,-0.0
6746750,-87.42,-124.82,50.0,1.00,-0.0,50.0,-0.0
6747000,-87.92,-122.30,50.0,1.00,-0.0,50.0,-0.0
6747250,-87.65,-123.98,50.0,1.00,-0.0,50.0,-0.0
6747500,-87.77,-122.03,50.0,1.00,-0.0,50.0,-0.0
6747750,-87.76,-119.02,50.0,1.00,-0.0,50.0,-0.0
6748000,-87.42,-127.75,50.0,1.00,-0.0,50.0,-0.0
6748250,-87.71,-124.27,50.0,1.00,-0.0,50.0,-0.0
6748500,-87.95,-125.77,50.0,1.00,-0.0,50.0,-0.0
6748750,-87.73,-124.98,50.0,1.00,-0.0,50.0,-0.0
6749000,-87.76,-124.45,50.0,1.00,-0.0,50.0,-0.0
6749250,-87.63,-123.48,50.0,1.00,-0.0,50.0,-0.0
6749500,-87.83,-123.71,50.0,1.00,-0.0,50.0,-0.0
6749750,-87.84,-126.42,50.0,1.00,-0.0,50.0,-0.0
6750000,-87.53,-125.63,50.0,1.00,-0.0,50.0,-0.0
6750250,-88.05,-125.30,50.0,1.00,-0.0,50.0,-0.0
6750500,-88.00,-125.11,50.0,1.00,-0.0,50.0,-0.0
6750750,-87.90,-125.56,50.0,1.00,-0.0,50.0,-0.0
6751000,-87.63,-123.46,50.0,1.00,-0.0,50.0,-0.0
6751250,-87.59,-122.85,50.0,1.00,-0.0,50.0,-0.0
6751500,-88.12,-122.12,50.0,1.00,-0.0,50.0,-0.0
6751750,-87.51,-123.22,50.0,1.00,-0.0,50.0,-0.0
6752000,-87.37,-120.96,50.0,1.00,-0.0,50.0,-0.0
6752250,-87.21,-124.41,50.0,1.00,-0.0,50.0,-0.0
6752500,-87.77,-123.74,50.0,1.00,-0.0,50.0,-0.0
6752750,-87.70,-123.66,50.0,1.00,-0.0,50.0,-0.0
6753000,-87.53,-125.39,50.0,1.00,-0.0,50.0,-0.0
6753250,-87.83,-127.35,50.0,1.00,-0.0,50.0,-0.0
6753500,-87.51,-123.20,50.0,1.00,-0.0,50.0,-0.0
6753750,-87.65,-122.33,50.0,1.00,-0.0,50.0,-0.0
6754000,-87.95,-126.46,50.0,1.00,-0.0,50.0,-0.0
6754250,-87.44,-125.03,50.0,1.00,-0.0,50.0,-0.0
6754500,-87.36,-123.70,50.0,1.00,-0.0,50.0,-0.0
6754750,-87.83,-124.03,50.0,1.00,-0.0,50.0,-0.0
6755000,-87.55,-122.22,50.0,1.00,-0.0,50.0,-0.0
6755250,-87.67,-123.38,50.0,1.00,-0.0,50.0,-0.0
6755500,-87.38,-123.94,50.0,1.00,-0.0,50.0,-0.0
6755750,-88.11,-127.55,50.0,1.00,-0.0,50.0,-0.0
6756000,-87.81,-124.70,50.0,1.00,-0.0,50.0,-0.0
6756250,-87.76,-126.63,50.0,1.00,-0.0,50.0,-0.0
6756500,-88.08,-122.88,50.0,1.00,-0.0,50.0,-0.0
6756750,-88.02,-125.34,50.0,1.00,-0.0,50.0,-0.0
6757000,-88.03,-119.50,50.0,1.00,-0.0,50.0,-0.0
6757250,-87.63,-124.92,50.0,1.00,-0.0,50.0,-0.0
6757500,-87.90,-122.68,50.0,1.00,-0.0,50.0,-0.0
6757750,-88.08,-122.03,50.0,1.00,-0.0,50.0,-0.0
6758000,-87.53,-122.86,50.0,1.00,-0.0,50.0,-0.0
6758250,-87.78,-128.06,50.0,1.00,-0.0,50.0,-0.0
6758500,-87.84,-124.73,50.0,1.00,-0.0,50.0,-0.0
6758750,-87.70,-123.97,50.0,1.00,-0.0,50.0,-0.0
6759000,-87.80,-126.07,50.0,1.00,-0.0,50.0,-0.0
6759250,-87.58,-124.73,50.0,1.00,-0.0,50.0,-0.0
6759500,-87.61,-123.40,50.0,1.00,-0.0,50.0,-0.0
6759750,-87.61,-122.25,50.0,1.00,-0.0,50.0,-0.0
6760000,-87.62,-124.32,50.0,1.00,-0.0,50.0,-0.0
6760250,-87.82,-122.82,50.0,1.00,-0.0,50.0,-0.0
6760500,-87.81,-124.44,50.0,1.00,-0.0,50.0,-0.0
6760750,-87.51,-123.84,50.0,1.00,-0.0,50.0,-0.0
6761000,-87.49,-123.93,50.0,1.00,-0.0,50.0,-0.0
6761250,-88.40,-125.71,50.0,1.00,-0.0,50.0,-0.0
6761500,-87.85,-122.84,50.0,1.00,-0.0,50.0,-0.0
6761750,-87.67,-123.68,50.0,1.00,-0.0,50.0,-0.0
6762000,-88.02,-125.07,50.0,1.00,-0.0,50.0,-0.0
6762250,-87.75,-123.89,50.0,1.00,-0.0,50.0,-0.0
6762500,-87.85,-126.01,50.0,1.00,-0.0,50.0,-0.0
6762750,-87.96,-125.93,50.0,1.00,-0.0,50.0,-0.0
6763000,-87.48,-125.48,50.0,1.00,-0.0,50.0,-0.0
6763250,-87.55,-124.21,50.0,1.00,-0.0,50.0,-0.0
6763500,-87.51,-126.65,50.0,1.00,-0.0,50.0,-0.0
6763750,-87.90,-126.92,50.0,1.00,-0.0,50.0,-0.0
6764000,-87.88,-120.63,50.0,1.00,-0.0,50.0,-0.0
6764250,-87.68,-124.02,50.0,1.00,-0.0,50.0,-0.0
6764500,-87.48,-124.34,50.0,1.00,-0.0,50.0,-0.0
6764750,-88.05,-124.72,50.0,1.00,-0.0,50.0,-0.0
6765000,-87.63,-122.47,50.0,1.00,-0.0,50.0,-0.0
6765250,-87.69,-123.92,50.0,1.00,-0.0,50.0,-0.0
6765500,-88.04,-122.91,50.0,1.00,-0.0,50.0,-0.0
6765750,-87.39,-124.12,50.0,1.00,-0.0,50.0,-0.0
6766000,-88.00,-124.29,50.0,1.00,-0.0,50.0,-0.0
6766250,-88.13,-123.12,50.0,1.00,-0.0,50.0,-0.0
6766500,-88.48,-123.78,50.0,1.00,-0.0,50.0,-0.0
6766750,-88.32,-122.84,50.0,1.00,-0.0,50.0,-0.0
6767000,-88.18,-119.42,50.0,1.00,-0.0,50.0,-0.0
6767250,-87.93,-121.95,50.0,1.00,-0.0,50.0,-0.0
6767500,-87.76,-123.40,50.0,1.00,-0.0,50.0,-0.0
6767750,-87.75,-124.21,50.0,1.00,-0.0,50.0,-0.0
6768000,-87.24,-122.72,50.0,1.00,-0.0,50.0,-0.0
6768250,-87.97,-125.20,50.0,1.00,-0.0,50.0,-0.0
6768500,-87.93,-126.56,50.0,1.00,-0.0,50.0,-0.0
6768750,-87.44,-124.05,50.0,1.00,-0.0,50.0,-0.0
6769000,-87.41,-122.67,50.0,1.00,-0.0,50.0,-0.0
6769250,-87.05,-121.77,50.0,1.00,-0.0,50.0,-0.0
6769500,-87.93,-126.33,50.0,1.00,-0.0,50.0,-0.0
6769750,-88.05,-120.74,50.0,1.00,-0.0,50.0,-0.0
6770000,-88.11,-121.27,50.0,1.00,-0.0,50.0,-0.0
6770250,-87.59,-122.18,50.0,1.00,-0.0,50.0,-0.0
6770500,-88.20,-122.69,50.0,1.00,-0.0,50.0,-0.0
6770750,-87.63,-124.50,50.0,1.00,-0.0,50.0,-0.0
6771000,-86.94,-121.75,50.0,1.00,-0.0,50.0,-0.0
6771250,-87.56,-123.84,50.0,1.00,-0.0,50.0,-0.0
6771500,-87.86,-125.62,50.0,1.00,-0.0,50.0,-0.0
6771750,-87.73,-124.63,50.0,1.00,-0.0,50.0,-0.0
6772000,-87.83,-123.81,50.0,1.00,-0.0,50.0,-0.0
6772250,-87.91,-123.20,50.0,1.00,-0.0,50.0,-0.0
6772500,-88.18,-122.54,50.0,1.00,-0.0,50.0,-0.0
6772750,-88.20,-127.95,50.0,1.00,-0.0,50.0,-0.0
6773000,-87.41,-124.32,50.0,1.00,-0.0,50.0,-0.0
6773250,-87.42,-123.54,50.0,1.00,-0.0,50.0,-0.0
6773500,-87.76,-121.51,50.0,1.00,-0.0,50.0,-0.0
6773750,-87.84,-123.70,50.0,1.00,-0.0,50.0,-0.0
6774000,-87.77,-125.01,50.0,1.00,-0.0,50.0,-0.0
6774250,-87.45,-127.30,50.0,1.00,-0.0,50.0,-0.0
6774500,-87.84,-123.70,50.0,1.00,-0.0,50.0,-0.0
6774750,-87.92,-126.51,50.0,1.00,-0.0,50.0,-0.0
6775000,-87.50,-122.73,50.0,1.00,-0.0,50.0,-0.0
6775250,-87.72,-123.66,50.0,1.00,-0.0,50.0,-0.0
6775500,-87.99,-121.96,50.0,1.00,-0.0,50.0,-0.0
6775750,-87.90,-126.96,50.0,1.00,-0.0,50.0,-0.0
6776000,-87.73,-124.59,50.0,1.00,-0.0,50.0,-0.0
6776250,-87.60,-126.27,50.0,1.00,-0.0,50.0,-0.0
6776500,-87.54,-122.54,50.0,1.00,-0.0,50.0,-0.0
6776750,-87.98,-123.25,50.0,1.00,-0.0,50.0,-0.0
6777000,-87.64,-123.21,50.0,1.00,-0.0,50.0,-0.0
6777250,-87.79,-122.69,50.0,1.00,-0.0,50.0,-0.0
6777500,-87.75,-125.43,50.0,1.00,-0.0,50.0,-0.0
6777750,-88.00,-123.51,50.0,1.00,-0.0,50.0,-0.0
6778000,-88.19,-126.54,50.0,1.00,-0.0,50.0,-0.0
6778250,-87.86,-122.76,50.0,1.00,-0.0,50.0,-0.0
6778500,-87.72,-124.79,50.0,1.00,-0.0,50.0,-0.0
6778750,-87.88,-122.88,50.0,1.00,-0.0,50.0,-0.0
6779000,-88.11,-126.65,50.0,1.00,-0.0,50.0,-0.0
6779250,-87.76,-126.13,50.0,1.00,-0.0,50.0,-0.0
6779500,-87.72,-122.60,50.0,1.00,-0.0,50.0,-0.0
6779750,-87.36,-122.56,50.0,1.00,-0.0,50.0,-0.0
6780000,-87.94,-122.36,50.0,1.00,-0.0,50.0,-0.0
6780250,-87.87,-122.05,50.0,1.00,-0.0,50.0,-0.0
6780500,-88.06,-124.04,50.0,1.00,-0.0,50.0,-0.0
6780750,-87.68,-121.40,50.0,1.00,-0.0,50.0,-0.0
6781000,-87.63,-122.83,50.0,1.00,-0.0,50.0,-0.0
6781250,-87.56,-123.33,50.0,1.00,-0.0,50.0,-0.0
6781500,-87.94,-124.95,50.0,1.00,-0.0,50.0,-0.0
6781750,-87.94,-126.14,50.0,1.00,-0.0,50.0,-0.0
6782000,-87.87,-128.90,50.0,1.00,-0.0,50.0,-0.0
6782250,-87.60,-124.86,50.0,1.00,-0.0,50.0,-0.0
6782500,-87.93,-123.99,50.0,1.00,-0.0,50.0,-0.0
6782750,-87.57,-125.38,50.0,1.00,-0.0,50.0,-0.0
6783000,-87.60,-124.28,50.0,1.00,-0.0,50.0,-0.0
6783250,-87.98,-123.93,50.0,1.00,-0.0,50.0,-0.0
6783500,-87.72,-123.95,50.0,1.00,-0.0,50.0,-0.0
6783750,-87.89,-122.52,50.0,1.00,-0.0,50.0,-0.0
6784000,-87.95,-126.26,50.0,1.00,-0.0,50.0,-0.0
6784250,-87.86,-127.20,50.0,1.00,-0.0,50.0,-0.0
6784500,-88.15,-122.92,50.0,1.00,-0.0,50.0,-0.0
6784750,-87.95,-124.47,50.0,1.00,-0.0,50.0,-0.0
6785000,-88.04,-123.86,50.0,1.00,-0.0,50.0,-0.0
6785250,-87.65,-123.64,50.0,1.00,-0.0,50.0,-0.0
6785500,-87.76,-122.14,50.0,1.00,-0.0,50.0,-0.0
6785750,-87.84,-121.52,50.0,1.00,-0.0,50.0,-0.0
6786000,-87.70,-126.12,50.0,1.00,-0.0,50.0,-0.0
6786250,-87.69,-125.18,50.0,1.00,-0.0,50.0,-0.0
6786500,-88.06,-121.48,50.0,1.00,-0.0,50.0,-0.0
6786750,-88.04,-121.58,50.0,1.00,-0.0,50.0,-0.0
6787000,-87.64,-125.57,50.0,1.00,-0.0,50.0,-0.0
6787250,-87.60,-121.07,50.0,1.00,-0.0,50.0,-0.0
6787500,-87.79,-126.48,50.0,1.00,-0.0,50.0,-0.0
6787750,-87.86,-123.41,50.0,1.00,-0.0,50.0,-0.0
6788000,-87.72,-122.67,50.0,1.00,-0.0,50.0,-0.0
6788250,-87.68,-123.08,50.0,1.00,-0.0,50.0,-0.0
6788500,-87.88,-126.85,50.0,1.00,-0.0,50.0,-0.0
6788750,-87.49,-122.98,50.0,1.00,-0.0,50.0,-0.0
6789000,-87.95,-123.38,50.0,1.00,-0.0,50.0,-0.0
6789250,-87.51,-124.58,50.0,1.00,-0.0,50.0,-0.0
6789500,-87.73,-124.40,50.0,1.00,-0.0,50.0,-0.0
6789750,-87.64,-123.60,50.0,1.00,-0.0,50.0,-0.0
6790000,-87.89,-123.06,50.0,1.00,-0.0,50.0,-0.0
6790250,-88.01,-123.32,50.0,1.00,-0.0,50.0,-0.0
6790500,-87.84,-122.89,50.0,1.00,-0.0,50.0,-0.0
6790750,-87.74,-127.20,50.0,1.00,-0.0,50.0,-0.0
6791000,-87.78,-128.34,50.0,1.00,-0.0,50.0,-0.0
6791250,-87.73,-124.74,50.0,1.00,-0.0,50.0,-0.0
6791500,-87.44,-122.80,50.0,1.00,-0.0,50.0,-0.0
6791750,-88.11,-123.42,50.0,1.00,-0.0,50.0,-0.0
6792000,-87.80,-121.44,50.0,1.00,-0.0,50.0,-0.0
